symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
CD27-AS1,,12p13.31,HSALNG0088857,"HSALNT0184792,HSALNT0184794,HSALNT0184795,HSALNT0184796,HSALNT0184797,HSALNT0184798,HSALNT0184799,HSALNT0184800,HSALNT0184801,HSALNT0184802,HSALNT0184803,HSALNT0184804,HSALNT0184805,HSALNT0184806,HSALNT0184807,HSALNT0184808,HSALNT0184809,HSALNT0184810,HSALNT0184811,HSALNT0184812,HSALNT0184813,HSALNT0184814,HSALNT0184815,HSALNT0184816,HSALNT0184817,HSALNT0184818,HSALNT0184819,HSALNT0184820,HSALNT0184821,HSALNT0184822,HSALNT0184823,HSALNT0184824,HSALNT0184825,HSALNT0184826,HSALNT0184827,HSALNT0184828,HSALNT0184829,HSALNT0184830,HSALNT0184831,HSALNT0184836,HSALNT0184837,HSALNT0184838,HSALNT0184839,HSALNT0184841,HSALNT0184843,HSALNT0184845,HSALNT0184846,HSALNT0184848,HSALNT0184849,HSALNT0184850,HSALNT0184853,HSALNT0184854,HSALNT0366409,HSALNT0366410,HSALNT0366411,HSALNT0366412,HSALNT0366413,HSALNT0366414,HSALNT0366415,HSALNT0366416,HSALNT0366417,HSALNT0366418,HSALNT0366419,HSALNT0366420,HSALNT0366421,HSALNT0366422,HSALNT0366423,HSALNT0366424,HSALNT0366425,HSALNT0366426,HSALNT0366427,HSALNT0366428,HSALNT0366429,HSALNT0366430,HSALNT0366431",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg06495803;cg22036538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
CEBPA-DT,ADINR;CEBPA-AS1,19q13.11,HSALNG0125425,"HSALNT0258550,HSALNT0258551,HSALNT0258552,HSALNT0258554,HSALNT0258555,HSALNT0258559,HSALNT0288913,HSALNT0397454,HSALNT0397455,HSALNT0397456,HSALNT0397457,HSALNT0397458,HSALNT0397459",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg21715751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
CISTR,CISTR-ACT;CISTRACT;re52431,12q13.13,HSALNG0091306,"HSALNT0189381,HSALNT0189382,HSALNT0189383,HSALNT0189384,HSALNT0189385,HSALNT0189387,HSALNT0189394,HSALNT0189397,HSALNT0189405,HSALNT0368365,HSALNT0368370,HSALNT0368371,HSALNT0368372,HSALNT0368373,HSALNT0368374",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg27597505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
CLLU1,,12q22,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg11881599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
CLLU1-AS1,CLLU1OS,12q22,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg11881599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
CLRN1-AS1,UCRP;CLRN1OS,3q25.1,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg26062204;cg24721964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
CYP1B1-AS1,MGC34824;C2orf58,2p22.2,HSALNG0014289,"HSALNT0030190,HSALNT0030191,HSALNT0030192,HSALNT0030195,HSALNT0030196,HSALNT0030198,HSALNT0030199,HSALNT0030201,HSALNT0030207,HSALNT0030208,HSALNT0030209,HSALNT0030210,HSALNT0030211,HSALNT0030213,HSALNT0030215,HSALNT0030216,HSALNT0030218,HSALNT0030220,HSALNT0030222,HSALNT0030224,HSALNT0030225,HSALNT0030227,HSALNT0030229,HSALNT0030231,HSALNT0030233,HSALNT0030235,HSALNT0030237,HSALNT0030239,HSALNT0030241,HSALNT0030242,HSALNT0030245,HSALNT0030246,HSALNT0030249,HSALNT0030250,HSALNT0030251,HSALNT0030253,HSALNT0030255,HSALNT0030257,HSALNT0030259,HSALNT0030261,HSALNT0030262,HSALNT0030279,HSALNT0030284,HSALNT0301780,HSALNT0301781,HSALNT0301782,HSALNT0301783,HSALNT0301784,HSALNT0301785,HSALNT0301786,HSALNT0301787,HSALNT0301788,HSALNT0301789,HSALNT0301790,HSALNT0301791,HSALNT0301794,HSALNT0301795,HSALNT0301796,HSALNT0301802,HSALNT0301803,HSALNT0301813",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg05415606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
DHRS4-AS1,PRO1488;AS1DHRS4;C14orf167,14q11.2,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg18981338;cg01878807;cg10199763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
DIO3OS,NCRNA00041;DIO3-AS1;C14orf134,14q32.31,HSALNG0103838,"HSALNT0216163,HSALNT0216167,HSALNT0216168,HSALNT0216170,HSALNT0216171,HSALNT0216177,HSALNT0216178,HSALNT0216179,HSALNT0216181,HSALNT0379372,HSALNT0379373,HSALNT0379374,HSALNT0379375,HSALNT0379376,HSALNT0379377,HSALNT0379378,HSALNT0379379,HSALNT0379380,HSALNT0379381,HSALNT0379382,HSALNT0379383,HSALNT0379384,HSALNT0379385,HSALNT0379386,HSALNT0379387,HSALNT0379388",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg02287710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
DIRC3,FLJ14199,2q35,HSALNG0022192,"HSALNT0047175,HSALNT0047176,HSALNT0308966,HSALNT0308967,HSALNT0308968,HSALNT0308969,HSALNT0308970,HSALNT0308971,HSALNT0308972,HSALNT0308973,HSALNT0308974,HSALNT0308975,HSALNT0308977,HSALNT0308978,HSALNT0308979,HSALNT0308980,HSALNT0308981,HSALNT0308982,HSALNT0308983",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg22245446;cg24980995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
DLEU1,LEU1;XTP6;NCRNA00021;LINC00021;BCMS1;DLB1;BCMS,13q14.2-q14.3,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg00465247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
DNMBP-AS1,FLJ40792;bA287G8.2;NCRNA00093,10q24.2,HSALNG0080076,"HSALNT0166998,HSALNT0166999,HSALNT0167000,HSALNT0167001,HSALNT0167002,HSALNT0167003,HSALNT0167005,HSALNT0167010,HSALNT0167011,HSALNT0167012,HSALNT0359544,HSALNT0359545,HSALNT0359546,HSALNT0359547,HSALNT0359548,HSALNT0359549,HSALNT0359550",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg09045574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
EGOT,EGO;NCRNA00190,3p26.1,HSALNG0023880,"HSALNT0050345,HSALNT0050346,HSALNT0050347,HSALNT0288940,HSALNT0310054,HSALNT0310055,HSALNT0310056,HSALNT0310057",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg11600734;cg02799411;cg05795849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
ERC2-IT1,Po42;C1orf1;C3orf51,3p14.3,HSALNG0026312,"HSALNT0054952,HSALNT0054953,HSALNT0289430,HSALNT0311933",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg19551485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
FAM215A,APR-2;LINC00530;C17orf88,17q21.31,HSALNG0141608,"HSALNT0289497,HSALNT0389984,HSALNT0389985",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg20359349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
FENDRR,lincFOXF1;onco-lncRNA-21;FOXF1-AS1,16q24.1,HSALNG0113304,"HSALNT0234868,HSALNT0234869,HSALNT0234870,HSALNT0234871,HSALNT0234872,HSALNT0234873,HSALNT0234874,HSALNT0234875,HSALNT0234876,HSALNT0234877,HSALNT0234878,HSALNT0234879,HSALNT0234880,HSALNT0234881,HSALNT0234882,HSALNT0234883,HSALNT0234884,HSALNT0234885,HSALNT0234886,HSALNT0234888,HSALNT0234889,HSALNT0234891,HSALNT0234895,HSALNT0234897,HSALNT0234899,HSALNT0234902,HSALNT0234903,HSALNT0234904,HSALNT0234905,HSALNT0234906,HSALNT0234908,HSALNT0234910,HSALNT0234914,HSALNT0234916,HSALNT0234917,HSALNT0234919,HSALNT0288974,HSALNT0387597,HSALNT0387598,HSALNT0387599,HSALNT0387600,HSALNT0387601,HSALNT0387602,HSALNT0387603,HSALNT0387604,HSALNT0387605,HSALNT0387606,HSALNT0387607,HSALNT0387608,HSALNT0387609,HSALNT0387610,HSALNT0387611,HSALNT0387612,HSALNT0387613,HSALNT0387614,HSALNT0387615,HSALNT0387616,HSALNT0387617,HSALNT0387618,HSALNT0387619,HSALNT0387620,HSALNT0387621",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg02637247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
GAS5,SNHG2;NCRNA00030,1q25.1,HSALNG0008545,"HSALNT0017659,HSALNT0017660,HSALNT0017661,HSALNT0017663,HSALNT0017666,HSALNT0017667,HSALNT0017670,HSALNT0017671,HSALNT0017679,HSALNT0017696,HSALNT0017697,HSALNT0017700,HSALNT0017701,HSALNT0017702,HSALNT0017703,HSALNT0017704,HSALNT0017705,HSALNT0017706,HSALNT0017716,HSALNT0017717,HSALNT0017719,HSALNT0017720,HSALNT0017721,HSALNT0017722,HSALNT0017723,HSALNT0017724,HSALNT0017725,HSALNT0017726,HSALNT0017728,HSALNT0017732,HSALNT0017737,HSALNT0017738,HSALNT0017739,HSALNT0017740,HSALNT0017744,HSALNT0017748,HSALNT0017749,HSALNT0017751,HSALNT0017753,HSALNT0017757,HSALNT0017760,HSALNT0017768,HSALNT0017773,HSALNT0017776,HSALNT0017777,HSALNT0296610,HSALNT0296611,HSALNT0296612,HSALNT0296613,HSALNT0296614,HSALNT0296615,HSALNT0296616,HSALNT0296617,HSALNT0296619,HSALNT0296620,HSALNT0296621,HSALNT0296622,HSALNT0296623,HSALNT0296624,HSALNT0296625,HSALNT0296626,HSALNT0296627,HSALNT0296628,HSALNT0296629,HSALNT0296630,HSALNT0296631,HSALNT0296632,HSALNT0296633,HSALNT0296634,HSALNT0296635,HSALNT0296636,HSALNT0296637,HSALNT0296638,HSALNT0296639,HSALNT0296640,HSALNT0296641,HSALNT0296642,HSALNT0296643,HSALNT0296644,HSALNT0296645,HSALNT0296646",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg06644515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
GNAS-AS1,SANG;NESP-AS;NESPAS;GNAS1AS;NCRNA00075;GNASAS;GNAS-AS,20q13.32,HSALNG0131285,"HSALNT0269782,HSALNT0269783,HSALNT0269785,HSALNT0269786,HSALNT0269787,HSALNT0269788,HSALNT0269789,HSALNT0269790,HSALNT0269791,HSALNT0269792,HSALNT0402088,HSALNT0402089,HSALNT0402090",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg10309886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
HAS2-AS1,HASNT;NCRNA00077;HAS2AS;HAS2-AS,8q24.13,HSALNG0068110,"HSALNT0142767,HSALNT0142768,HSALNT0142769,HSALNT0142770,HSALNT0142772,HSALNT0142773,HSALNT0142774,HSALNT0142778,HSALNT0142781,HSALNT0142782,HSALNT0142783,HSALNT0142784,HSALNT0142785,HSALNT0142786,HSALNT0142790,HSALNT0142791,HSALNT0142792,HSALNT0142793,HSALNT0142795,HSALNT0142803,HSALNT0142805,HSALNT0142806,HSALNT0142807,HSALNT0142822,HSALNT0142828,HSALNT0142829,HSALNT0142830,HSALNT0142832,HSALNT0142833,HSALNT0288996,HSALNT0349397,HSALNT0349398,HSALNT0349399,HSALNT0349400,HSALNT0349401,HSALNT0349402,HSALNT0349403,HSALNT0349404,HSALNT0349405,HSALNT0349406,HSALNT0349407,HSALNT0349408,HSALNT0349409,HSALNT0349410,HSALNT0349411,HSALNT0349412,HSALNT0349413,HSALNT0349414,HSALNT0349415,HSALNT0349416,HSALNT0349417,HSALNT0349418,HSALNT0349419,HSALNT0349420,HSALNT0349421,HSALNT0349422,HSALNT0349423,HSALNT0349424,HSALNT0349425",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg07550921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,24270187
HCG21,AB023048.2;NCRNA00150,6p21,HSALNG0049215,"HSALNT0104144,HSALNT0104145,HSALNT0104146,HSALNT0104147,HSALNT0104148,HSALNT0104149,HSALNT0104150,HSALNT0104151,HSALNT0104152,HSALNT0104153,HSALNT0333673,HSALNT0333674",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg08827454;cg18950108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
HCG23,dJ1077I5.3,6p21.32,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg17039645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
HCG4,HCGIV-10;HCGIV.9;HCG4P10,6p22.1,ENSG00000176998.4,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg08560874;cg17670496;cg08696107;cg16787652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
HCP5,D6S2650E;P5-1,6p21.33,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg23232773;cg04985482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
HOXA-AS3,HOXA6as,7p15.2,HSALNG0056858,"HSALNT0120349,HSALNT0120352,HSALNT0120353,HSALNT0120357,HSALNT0120359,HSALNT0289449,HSALNT0339916,HSALNT0339917,HSALNT0339918,HSALNT0339920,HSALNT0339921,HSALNT0339922",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg05774699;cg03744763;cg17432857;cg14882265;cg27151303;cg11724970;cg05835726;cg02916332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
HOXB-AS1,,17q21.32,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg25255850;cg21097733;cg06942183;cg26841048;cg23530553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
HOXB-AS3,,17q21.32,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg15649236;cg08832695;cg04014328;cg01351315;cg20693334;cg11971423;cg10588962;cg19710451;cg10165801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
IBA57-DT,FLJ32878;C1orf148;IBA57-AS1,1q42.13,HSALNG0142442,"HSALNT0298807,HSALNT0298808,HSALNT0298809,HSALNT0298810",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg12298872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
